,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,5805,Avalanche,AVAX,avalanche,704,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,377917747.43357646,436607387.43357646,False,,11,,,,2024-04-11T22:56:00.000Z,46.147679687901835,375341378.1414743,-30.3582,0.22733005,-2.96197014,-0.5268622,-16.38001602,16.45155187,29.38496175,17440027156.938072,0.6679,33030142621.44,,2024-04-11T22:56:00.000Z,,,,,,2024-04-11 18:58:32.659180
11,5994,Shiba Inu,SHIB,shiba-inu,789,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589289410812691.0,589534086491242.2,False,,12,,,,2024-04-11T22:56:00.000Z,2.7591708386947063e-05,425149184.8060854,-31.3713,-0.05639824,-1.433496,1.29935422,-13.3395603,193.52492495,189.09781012,16259501578.65962,0.6227,16266252598.63,,2024-04-11T22:56:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-04-11 18:58:32.659180
12,1831,Bitcoin Cash,BCH,bitcoin-cash,873,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19690168.75,19690168.75,False,,13,,,,2024-04-11T22:56:00.000Z,613.9489183725029,547857119.234055,-52.5683,-0.06358016,-2.53964176,-2.32603917,44.56099244,121.70759915,139.24742202,12088757806.634558,0.463,12892927285.82,,2024-04-11T22:56:00.000Z,,,,,,2024-04-11 18:58:32.659180
13,6636,Polkadot,DOT,polkadot-new,735,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1432661896.9753473,1432661896.9753473,True,,14,,,,2024-04-11T22:57:00.000Z,8.349304625146893,222723998.52108315,-26.687,0.75734765,-1.33503123,-1.22590539,-21.61332152,17.68468551,11.06241363,11961730602.687988,0.4581,11961730602.69,,2024-04-11T22:57:00.000Z,,,,,,2024-04-11 18:58:32.659180
14,1958,TRON,TRX,tron,969,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87657810142.4055,87657816668.62811,True,,15,71659659264.0,8614091439.331879,,2024-04-11T22:56:00.000Z,0.1202083784350253,272358120.21063364,-33.7713,0.22374792,0.88914315,1.07143498,-8.40006119,-3.27540831,13.30933265,10537203214.383879,0.4035,10537203998.89,,2024-04-11T22:56:00.000Z,,,,,,2024-04-11 18:58:32.659180
0,1,Bitcoin,BTC,bitcoin,11007,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19684693.0,19684693.0,False,,1,,,,2024-04-16T23:23:00.000Z,63856.36383182179,42936853715.71886,-2.6243,0.2699631,0.67448246,-7.56590186,-6.28289859,22.6248991,49.60702324,1256992918125.7156,54.2506,1340983640468.26,,2024-04-16T23:23:00.000Z,,,,,,2024-04-16 19:24:55.830674
1,1027,Ethereum,ETH,ethereum,8820,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120070407.6967193,120070407.6967193,True,,2,,,,2024-04-16T23:22:00.000Z,3095.080139331724,19615057487.480312,-11.0685,0.288405,-0.56704723,-11.52488559,-14.88096043,10.67129461,22.73426592,371627534183.57886,16.0428,371627534183.58,,2024-04-16T23:22:00.000Z,,,,,,2024-04-16 19:24:55.830674
2,825,Tether USDt,USDT,tether,82952,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,108100162510.75447,110941048614.43317,True,,3,,,,2024-04-16T23:22:00.000Z,1.000392878248077,77725201470.5472,-11.7069,-0.01916495,0.01729233,0.06244885,0.06334869,-0.03161615,0.11240915,108142632713.21855,4.6684,110984634939.25,,2024-04-16T23:22:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-04-16 19:24:55.830674
3,1839,BNB,BNB,bnb,2147,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149533819.83668995,149533819.83668995,False,,4,,,,2024-04-16T23:22:00.000Z,540.13154164312,1292092404.749422,-13.7293,-0.13779678,-2.34506382,-6.96162478,-5.4697372,50.2084783,74.64611689,80767932636.1759,3.489,80767932636.18,,2024-04-16T23:22:00.000Z,,,,,,2024-04-16 19:24:55.830674
4,5426,Solana,SOL,solana,652,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,446723663.2669135,574128404.2766694,True,,5,,,,2024-04-16T23:22:00.000Z,137.3355267101735,5174318937.727415,-10.207,0.57282309,-1.17658152,-20.53748821,-32.18411402,24.71668043,35.31552535,61351029588.659744,2.6485,78848226800.61,,2024-04-16T23:22:00.000Z,,,,,,2024-04-16 19:24:55.830674
